Gene,Env
AGXT,interaction
AHCY,interaction
AHSG,interaction
AIP,interaction
AIPL1,interaction
AJAP1,interaction
AJUBA,interaction
AK7,interaction
AKAP4,interaction
AKR1D1,interaction
AKT1,interaction
ALAD,interaction
ALB,interaction
ALDH16A1,interaction
ALDH1A3,interaction
ALDH2,interaction
ALDH3A2,interaction
ALDH4A1,interaction
ALDH5A1,interaction
ALDH7A1,interaction
ALDOA,interaction
ALDOB,interaction
ALDOC,interaction
ALG13,interaction
ALOX5AP,interaction
ALPK3,interaction
ALPL,interaction
ALS2,interaction
AMELY,interaction
AMPD1,interaction
ANG,interaction
ANGPTL3,interaction
ANK2,interaction
ANK3,interaction
ANKK1,interaction
ANKRD11,interaction
ANKRD36P1,interaction
ANLN,interaction
ANO5,interaction
ANXA11,interaction
ANXA5,interaction
AOC1,interaction
AP1S1,interaction
AP3B1,interaction
AP3B2,interaction
AP3M1,interaction
AP4E1,interaction
APC,interaction
APEX1,interaction
APEX2,interaction
APLP2,interaction
APOA2,interaction
APOA5,interaction
APOB,interaction
APOC2,interaction
APOC3,interaction
APOE,interaction
APOL1,interaction
APOM,interaction
APP,interaction
APPL2,interaction
AQP1,interaction
AQP4,interaction
AR,interaction
ARAP1,interaction
ARC,interaction
ARG1,interaction
ARHGAP11B,interaction
ARHGAP24,interaction
ARHGDIA,interaction
ARHGEF9,interaction
ARID1B,interaction
ARID5B,interaction
ARL15,interaction
ARMC2,interaction
ARMS2,interaction
ARNT2,interaction
ARNTL,interaction
ARPC1B,interaction
ARSA,interaction
ARSDP1,interaction
ART4,interaction
ARV1,interaction
ARX,interaction
ASAP1,interaction
ASB1,interaction
ASB10,interaction
ASGR1,interaction
ASL,interaction
ASPA,interaction
ASPM,interaction
ASS1,interaction
ASTN2,interaction
ASXL1,interaction
ATF7IP,interaction
ATG16L1,interaction
ATG4D,interaction
ATIC,interaction
ATM,interaction
ATP11A,interaction
ATP13A2,interaction
ATP1A2,interaction
ATP2A1,interaction
ATP2C1,interaction
ATP2C2,interaction
ATP6V0A4,interaction
ATP7A,interaction
ATP7B,interaction
ATP8B4,interaction
ATR,interaction
ATXN1,interaction
ATXN2,interaction
ATXN2L,interaction
AURKA,interaction
AUTS2,interaction
AVP,interaction
AVPR1A,interaction
AVPR1B,interaction
B3GALNT1,interaction
B3GAT2,interaction
B4GALNT3,interaction
BAAT,interaction
BACE1,interaction
BAD,interaction
BAG3,interaction
BAIAP2,interaction
BAK1,interaction
BANF1,interaction
BANK1,interaction
BARD1,interaction
BATF3,interaction
BCAM,interaction
BCAR1,interaction
BCHE,interaction
BCKDHA,interaction
BCKDHB,interaction
BCL2,interaction
BCL2L1,interaction
BCL2L11,interaction
BCL2L2-PABPN1,interaction
BCMO1,interaction
BCOR,interaction
BCORP1,interaction
BCR,interaction
BCS1L,interaction
BDKRB2,interaction
BDNF,interaction
BDP1,interaction
BHLHE41,interaction
BHMT,interaction
BLK,interaction
BLM,interaction
BLOC1S3,interaction
BLOC1S6,interaction
BLZF1,interaction
BMP2,interaction
BMPR1A,interaction
BMPR2,interaction
BMS1,interaction
BNC2,interaction
BOLA2,interaction
BOLA3,interaction
BPGM,interaction
BRAF,interaction
BRCA1,interaction
BRCA2,interaction
BRIP1,interaction
BTBD9,interaction
BTD,interaction
BTK,interaction
C12orf51,interaction
C13orf31,interaction
C14orf93,interaction
C19ORF12,interaction
C1QTNF7,interaction
C21orf91,interaction
C3,interaction
C4B,interaction
C5,interaction
C6orf10,interaction
C8orf80,interaction
C9orf102,interaction
C9orf72,interaction
CABP2,interaction
CACNA1A,interaction
CACNA1B,interaction
CACNA1C,interaction
CACNA1C-AS1,interaction
CACNA1D,interaction
CACNA1G,interaction
CACNA1H,interaction
CACNA1I,interaction
CACNA1S,interaction
CACNA2D4,interaction
CACNB2,interaction
CADM2,interaction
CALB1,interaction
CALHM1,interaction
CALR3,interaction
CALU,interaction
CAMK1,interaction
CAMK1D,interaction
CAMK2A,interaction
CARD11,interaction
CARD14,interaction
CARD8,interaction
CARD9,interaction
CASKP1,interaction
CASP3,interaction
CASP8,interaction
CASP9,interaction
CASQ2,interaction
CASR,interaction
CATSPER3,interaction
CAV3,interaction
CBLB,interaction
CBS,interaction
CBX5,interaction
CCDC122,interaction
CCDC174,interaction
CCDC3,interaction
CCDC39,interaction
CCDC50,interaction
CCDC8,interaction
CCDC88B,interaction
CCKAR,interaction
CCL11,interaction
CCL2,interaction
CCL21,interaction
CCL26,interaction
CCL27,interaction
CCL3L1,interaction
CCM2,interaction
CCR2,interaction
CCR3,interaction
CCR5,interaction
CCR6,interaction
CD14,interaction
CD244,interaction
CD24P4,interaction
CD274,interaction
CD28,interaction
CD2AP,interaction
CD320,interaction
CD33,interaction
CD3D,interaction
CD40,interaction
CD44,interaction
CD58,interaction
CD59,interaction
CD68,interaction
CD69,interaction
CDH1,interaction
CDH13,interaction
CDH2,interaction
CDH23,interaction
CDH4,interaction
CDKAL1,interaction
CDKL5,interaction
CDKN1A,interaction
CDKN1B,interaction
CDKN2A,interaction
CDKN2B,interaction
CDKN2B-AS1,interaction
CEACAM16,interaction
CELSR1,interaction
CENPE,interaction
CEP135,interaction
CEP152,interaction
CEP290,interaction
CES1,interaction
CETP,interaction
CFAP43,interaction
CFAP44,interaction
CFAP65,interaction
CFAP69,interaction
CFH,interaction
CFI,interaction
CFTR,interaction
CHAMP1,interaction
CHCHD10,interaction
CHD7,interaction
CHD8,interaction
CHEK1,interaction
CHEK2,interaction
CHI3L1,interaction
CHIT1,interaction
CHKB,interaction
CHM,interaction
CHMP2B,interaction
CHRM1,interaction
CHRM2,interaction
CHRM3,interaction
CHRM4,interaction
CHRM5,interaction
CHRN,interaction
CHRNA3,interaction
CHRNA4,interaction
CHRNA5,interaction
CHRNA7,interaction
CHRNB3,interaction
CIB2,interaction
CISD2,interaction
CLCN1,interaction
CLDN14,interaction
CLDN16,interaction
CLDN19,interaction
CLEC16A,interaction
CLN3,interaction
CLN5,interaction
CLN6,interaction
CLN8,interaction
CLN9,interaction
CLOCK,interaction
CLPP,interaction
CLPTM1,interaction
CLRN1,interaction
CLTCL1,interaction
CMAS,interaction
CMYA5,interaction
CNGB3,interaction
CNNM1,interaction
CNR1,interaction
CNR2,interaction
CNTN5,interaction
CNTNAP2,interaction
COASY,interaction
COCH,interaction
COG5,interaction
COL11A1,interaction
COL11A2,interaction
COL17A1,interaction
COL1A1,interaction
COL1A2,interaction
COL27A1,interaction
COL2A1,interaction
COL3A1,interaction
COL4A3,interaction
COL4A4,interaction
COL4A5,interaction
COL4A6,interaction
COL5A1,interaction
COL5A2,interaction
COL6A2,interaction
COL6A3,interaction
COL7A1,interaction
COL8A2,interaction
COL9A1,interaction
COL9A2,interaction
COL9A3,interaction
COMT,interaction
COX10,interaction
COX15,interaction
COX4I1,interaction
CPED1,interaction
CPOX,interaction
CPS1,interaction
CPT1A,interaction
CPT1B,interaction
CRB1,interaction
CRB2,interaction
CRB3,interaction
CREB1,interaction
CREBBP,interaction
CREBRF,interaction
CRH,interaction
CRISPLD1,interaction
CRP,interaction
CRYM,interaction
CSAD,interaction
CSF2RB,interaction
CSNK1D,interaction
CST3,interaction
CSTF1,interaction
CTBP2P1,interaction
CTC1,interaction
CTCF,interaction
CTH,interaction
CTLA4,interaction
CTNNA2,interaction
CTNNA3,interaction
CTRC,interaction
CTSD,interaction
CTSZ,interaction
CUBN,interaction
CWC27,interaction
CXCR4,interaction
CYB5R3,interaction
CYLD,interaction
CYP17A1,interaction
CYP19A1,interaction
CYP1A1,interaction
CYP1A2,interaction
CYP1B1,interaction
CYP21A2,interaction
CYP26A1,interaction
CYP27B1,interaction
CYP2A13,interaction
CYP2A6,interaction
CYP2B6,interaction
CYP2C19,interaction
CYP2C8,interaction
CYP2C9,interaction
CYP2D6,interaction
CYP2E1,interaction
CYP2F1,interaction
CYP2J2,interaction
CYP2R1,interaction
CYP2S1,interaction
CYP2W1,interaction
CYP3A,interaction
CYP3A4,interaction
CYP3A43,interaction
CYP3A5,interaction
CYP3A7,interaction
CYP4A11,interaction
CYP4A22,interaction
CYP4B1,interaction
CYP4F2,interaction
CYP4F3,interaction
CYP4V2,interaction
CYP7A1,interaction
DAB2IP,interaction
DAGL,interaction
DAO,interaction
DAOA,interaction
DAPK1,interaction
DAZL,interaction
DBH,interaction
DBR1,interaction
DBT,interaction
DCAF5,interaction
DCC,interaction
DCDC2,interaction
DCHS1,interaction
DCTN1,interaction
DCXR,interaction
DDB2,interaction
DDC,interaction
DDX3Y,interaction
DDX60L,interaction
Dec1,interaction
DEFB4,interaction
DENND5A,interaction
DES,interaction
DFNA5,interaction
DFNB31,interaction
DFNB59,interaction
DGCR2,interaction
DGKE,interaction
DGKH,interaction
DHAPAT,interaction
DHCR7,interaction
DHDDS,interaction
DHFR,interaction
DHODH,interaction
DHRC24,interaction
DHRS3,interaction
DIABLO,interaction
DIAPH1,interaction
DIAPH3,interaction
DICER1,interaction
DIO1,interaction
DIO2,interaction
DIO3,interaction
DISC1,interaction
DKK4,interaction
DLC1,interaction
DLD,interaction
DLEC1,interaction
DLEU7,interaction
DLG2,interaction
DLGAP5P1,interaction
DLK1,interaction
DMD,interaction
DMRT1,interaction
DNAH1,interaction
DNAH2,interaction
DNAH5,interaction
DNAI1,interaction
DNAJB11,interaction
DNAJC13,interaction
DNAJC5,interaction
DNM1,interaction
DNM2,interaction
DNM3,interaction
DNMT1,interaction
DNMT3A,interaction
DNMT3L,interaction
DOCK3,interaction
DOCK7,interaction
DOPEY2,interaction
DPP6,interaction
DPP9,interaction
DPYD,interaction
DRD1,interaction
DRD2,interaction
DRD3,interaction
DRD4,interaction
DRD5,interaction
DSC2,interaction
DSCAM,interaction
DSG2,interaction
DSP,interaction
DSPP,interaction
DTD1,interaction
DTNA,interaction
DTNBP1,interaction
DUSP1,interaction
DUSP5,interaction
DUXA,interaction
DVWA,interaction
DYNC1H1,interaction
DYRK1B,interaction
DYSF,interaction
EDA,interaction
EDA2R,interaction
EDAR,interaction
EDN1,interaction
EDN3,interaction
EDNRB,interaction
EEF1A2,interaction
EEFSEC,interaction
EFHC1,interaction
EFNB1,interaction
EFTUD2,interaction
EGF,interaction
EGFR,interaction
EGLN1,interaction
EGR1,interaction
EIF1AY,interaction
EIF2AK4,interaction
EIF2B5,interaction
EIF3E,interaction
EIF3G,interaction
EIF4G1,interaction
ELAC1,interaction
ELAC2,interaction
ELANE,interaction
ELK3,interaction
ELMOD3,interaction
ELN,interaction
ELOVL4,interaction
ELP4,interaction
EN1,interaction
ENG,interaction
ENOSF1,interaction
ENPP1,interaction
EPAS1,interaction
EPCAM,interaction
EPDR1,interaction
EPHA2,interaction
EPHA6,interaction
EPHB1,interaction
EPOR,interaction
ERAP1,interaction
ERBB4,interaction
ERCC2,interaction
ERCC6,interaction
ERCC8,interaction
ERP44,interaction
ERRFI1,interaction
ESCO2,interaction
ESPN,interaction
ESR1,interaction
ESRRB,interaction
EXO1,interaction
EXOC2,interaction
EYA1,interaction
EYA4,interaction
EZH2,interaction
F11,interaction
F12,interaction
F2,interaction
F2R,interaction
F5,interaction
F8,interaction
F9,interaction
FA2H,interaction
FAAH,interaction
FABP2,interaction
FABP7,interaction
FADS1,interaction
FADS2,interaction
FADS3,interaction
FAH,interaction
FAKE1,interaction
FAM13A,interaction
FAM155E,interaction
FAM177B,interaction
FAM20A,interaction
FAM71F1,interaction
FAM73A,interaction
FAM98B,interaction
FANCC,interaction
FANCM,interaction
FASTKD2,interaction
FAT3,interaction
FBN1,interaction
FBXL3,interaction
FBXW8,interaction
FCER1A,interaction
FCGR2A,interaction
FCGR2B,interaction
FCGR3A,interaction
FECH,interaction
FER,interaction
FERMT1,interaction
FGF1,interaction
FGF10,interaction
FGF12,interaction
FGF14,interaction
FGF21,interaction
FGF23,interaction
FGFR2,interaction
FGFR3,interaction
FGFR3P1,interaction
FGFR4,interaction
FGG,interaction
FKBP5,interaction
FKRP,interaction
FLCN,interaction
FLG,interaction
FLNB,interaction
FLNC,interaction
FMO2,interaction
FMO3,interaction
FMO5,interaction
FMR1,interaction
FN1,interaction
FOLR1,interaction
FOLR2,interaction
FOLR3,interaction
FOS,interaction
FOSL2,interaction
FOXC1,interaction
FOXE1,interaction
FOXI1,interaction
FOXO1,interaction
FOXO3,interaction
FOXP1,interaction
FOXP2,interaction
FOXP3,interaction
FPR1,interaction
FRRS1L,interaction
FSHR,interaction
FSIP1,interaction
FSIP2,interaction
FTL,interaction
FTO,interaction
FUS,interaction
FUT1,interaction
FUT2,interaction
FUT3,interaction
FXN,interaction
FXYD2,interaction
FYCO1,interaction
FZD4,interaction
FZD8,interaction
G6PC,interaction
G6PD,interaction
GAA,interaction
GAB2,interaction
GABRA1,interaction
GABRA2,interaction
GABRA4,interaction
GABRB1,interaction
GABRB3,interaction
GABRD,interaction
GAD1,interaction
GAD2,interaction
GADL1,interaction
GALC,interaction
GALNT3,interaction
GALT,interaction
GAMT,interaction
GANAB,interaction
GAR1,interaction
GARS,interaction
GATA1,interaction
GATA2,interaction
GATA3,interaction
GATA4,interaction
GBA,interaction
GC,interaction
GCDH,interaction
GCH1,interaction
GCHFR,interaction
GCK,interaction
GDAP1,interaction
GDF15,interaction
GDF2,interaction
GDF5,interaction
GDNF,interaction
GEMIN4,interaction
GFAP,interaction
GFOD1,interaction
GFPT2,interaction
GGH,interaction
GGPS1,interaction
GHR,interaction
GHRL,interaction
GIF,interaction
GIPC3,interaction
GIT1,interaction
GJA1,interaction
GJA5,interaction
GJB2,interaction
GJB3,interaction
GJB6,interaction
GJC2,interaction
GLA,interaction
GLB1,interaction
GLCCI1,interaction
GLDC,interaction
GLIS3,interaction
GLRA1,interaction
GLRA2,interaction
GLT8D1,interaction
GLUL,interaction
GMIP,interaction
GMPR,interaction
GNAL,interaction
GNAO1,interaction
GNB1,interaction
GNB3,interaction
GNE,interaction
GNPTAB,interaction
GNPTG,interaction
GOLM1,interaction
GOSR2,interaction
GPC6,interaction
GPHN,interaction
GPR119,interaction
GPR143,interaction
GPR18,interaction
GPR3,interaction
GPR30,interaction
GPR55,interaction
GPR6,interaction
GPR98,interaction
GPS2,interaction
GPSM2,interaction
GPX1,interaction
GPX4,interaction
GRB10,interaction
GRHL2,interaction
GRHPR,interaction
GRID1,interaction
GRIK1,interaction
GRIK3,interaction
GRIK4,interaction
GRIN1,interaction
GRIN2A,interaction
GRIN2B,interaction
GRIN2D,interaction
GRIP2,interaction
GRK3,interaction
GRM3,interaction
GRM7,interaction
GRN,interaction
GRXCR1,interaction
GSK3B,interaction
GSS,interaction
GSTM1,interaction
GSTP1,interaction
GSTT1,interaction
GSTT2,interaction
GTF2I,interaction
GUCY2D,interaction
GUF1,interaction
GYG2P1,interaction
GYPA,interaction
GYPB,interaction
H2AFY,interaction
H3F3A,interaction
HABP2,interaction
HARS2,interaction
HBA1,interaction
HBA2,interaction
HBB,interaction
HBD,interaction
HBG1,interaction
HCG27,interaction
HCN1,interaction
HCN4,interaction
HCP5,interaction
HCRTR2,interaction
HDC,interaction
HEATR3,interaction
HERC2,interaction
HES1,interaction
HEXA,interaction
HFE,interaction
HGF,interaction
HHEX,interaction
HIF1A,interaction
HIPK1,interaction
HIST1H1T,interaction
HIST2H2BE,interaction
HLA-A,interaction
HLA-B,interaction
HLA-C,interaction
HLA-DMA,interaction
HLA-DMB,interaction
HLA-DOA,interaction
HLA-DOB,interaction
HLA-DPA1,interaction
HLA-DPB1,interaction
HLA-DQA1,interaction
HLA-DQB1,interaction
HLA-DRA,interaction
HLA-DRB1,interaction
HLA-DRB3,interaction
HLA-DRB4,interaction
HLA-DRB5,interaction
HLA-DRB9,interaction
HLA-E,interaction
HLA-G,interaction
HLA-J,interaction
HMBS,interaction
HMGA2,interaction
HMGCR,interaction
HMOX1,interaction
HNF1A,interaction
HNF1B,interaction
HNMT,interaction
HNRNPA1,interaction
HOGA1,interaction
HOMER2,interaction
HOXB1,interaction
HOXB13,interaction
HOXB2,interaction
HP,interaction
HP1BP3,interaction
HPCA,interaction
HPD,interaction
HPGDS,interaction
HPS1,interaction
HPS3,interaction
HPS4,interaction
HPS5,interaction
HPS6,interaction
HRAS,interaction
HRH1,interaction
HRH2,interaction
HRH3,interaction
HRH4,interaction
HRK,interaction
HS6ST1,interaction
HSD11B1,interaction
HSD11B2,interaction
HSD17B10,interaction
HSD17B12,interaction
HSD17B2,interaction
HSD17B3,interaction
HSD17B4,interaction
HSD3B1,interaction
HSD3B2,interaction
HSD3B7,interaction
HSFY,interaction
HSFY3P,interaction
HSPA12A,interaction
HSPA1A,interaction
HSPA1L,interaction
HSPG2,interaction
HTR1A,interaction
HTR1B,interaction
HTR1E,interaction
HTR2A,interaction
HTR2B,interaction
HTR2C,interaction
HTR3A,interaction
HTR3C,interaction
HTRA1,interaction
HTT,interaction
IBD5,interaction
IDH1,interaction
IDO1,interaction
IDO2,interaction
IDS,interaction
IFIH1,interaction
IFITM3,interaction
IFITM5,interaction
IFNA2,interaction
IFNL3,interaction
IFNL4,interaction
IGF1,interaction
IGF1R,interaction
IGF2BP1,interaction
IGF2BP2,interaction
IK,interaction
IKBKAP,interaction
IKBKB,interaction
IKZF1,interaction
IKZF3,interaction
IL10,interaction
IL12A,interaction
IL12A-AS1,interaction
IL12B,interaction
IL12RB2,interaction
IL13,interaction
IL15,interaction
IL15RA,interaction
IL16,interaction
IL17A,interaction
IL18,interaction
IL18R1,interaction
IL18RAP,interaction
IL19,interaction
IL1B,interaction
IL1F10,interaction
IL1RAPL1,interaction
IL1RL1,interaction
IL1RN,interaction
IL2,interaction
IL20,interaction
IL21,interaction
IL23R,interaction
IL27,interaction
IL2RA,interaction
IL2RB,interaction
IL31,interaction
IL4,interaction
IL6,interaction
IL6R,interaction
IL6ST,interaction
ILDR1,interaction
IMMP2L,interaction
IMPA1,interaction
IMPDH1,interaction
IMPDH2,interaction
INF2,interaction
INPPL1,interaction
INSL6,interaction
INSR,interaction
INVS,interaction
IRAK1,interaction
IRAK3,interaction
IRF1,interaction
IRF2,interaction
IRF5,interaction
IRF7,interaction
IRF8,interaction
IRS1,interaction
IRS2,interaction
ISG15,interaction
ITGA2B,interaction
ITGA9,interaction
ITGAL,interaction
ITGAV,interaction
ITGB3,interaction
ITIH3,interaction
ITPA,interaction
ITPKC,interaction
ITPR2,interaction
ITPR3,interaction
IVD,interaction
JAK1,interaction
JAK2,interaction
JAK3,interaction
JARID2,interaction
JUP,interaction
KALP,interaction
KARS,interaction
KAT6B,interaction
KATP,interaction
KCNA2,interaction
KCNA3,interaction
KCNA5,interaction
KCNB1,interaction
KCNC1,interaction
KCND3,interaction
KCNE1,interaction
KCNE3,interaction
KCNH1,interaction
KCNH2,interaction
KCNJ1,interaction
KCNJ10,interaction
KCNJ11,interaction
KCNJ16,interaction
KCNJ2,interaction
KCNJ5,interaction
KCNK2,interaction
KCNMA1,interaction
KCNN4,interaction
KCNQ1,interaction
KCNQ1-AS1,interaction
KCNQ2,interaction
KCNQ4,interaction
KCNT1,interaction
KCNU1,interaction
KCNV2,interaction
KCTD7,interaction
KDM5B,interaction
KDM5D,interaction
KDR,interaction
KEL,interaction
KIAA0319,interaction
KIAA1468,interaction
KIF1A,interaction
KIF1B,interaction
KIF22,interaction
KIF5A,interaction
KIF6,interaction
KIRREL3,interaction
KIT,interaction
KITLG,interaction
KL,interaction
KLC1,interaction
KLF6,interaction
KLK11,interaction
KLK3,interaction
KLKB1,interaction
KNG1,interaction
KPNA4,interaction
KRAS,interaction
KRIT1,interaction
KRT1,interaction
KRT13,interaction
KRT14,interaction
KRT5,interaction
KSNQ2,interaction
KSR2,interaction
KTN1,interaction
LACC1,interaction
LAMA2,interaction
LAMA3,interaction
LAMB1,interaction
LAMB2,interaction
LAMB3,interaction
LAMB4,interaction
LAMC1,interaction
LAMC2,interaction
LARS2,interaction
LASP1,interaction
LBP,interaction
LCE1D,interaction
LCT,interaction
LDB3,interaction
LDLR,interaction
LDLRAP1,interaction
LEP,interaction
LEPR,interaction
LHCGR,interaction
LHFP,interaction
LHFPL5,interaction
LIG4,interaction
LINC-PINT,interaction
LIPC,interaction
LIPT1,interaction
LLGL2,interaction
LMBRD1,interaction
LMNA,interaction
LMNB2,interaction
LOC100289168,interaction
LOC100289233,interaction
LOC100289398,interaction
LOC100289553,interaction
LOC100533723,interaction
LOC100652931,interaction
LOC101929679,interaction
LOC105376512,interaction
LOC105377223,interaction
LOC105377329,interaction
LOC107987344,interaction
LOC388210,interaction
LOC729065,interaction
LOXHD1,interaction
LOXL1,interaction
LPA,interaction
LPHN3,interaction
LPL,interaction
LPP,interaction
LRP1,interaction
LRP4,interaction
LRP5,interaction
LRPPRC,interaction
LRRC43,interaction
LRRK2,interaction
LRTOMT,interaction
LSAMP,interaction
LSP1,interaction
LTA,interaction
LTBP2,interaction
LUM,interaction
LYZL2,interaction
LZTFL1,interaction
LZTS1,interaction
MACC1,interaction
MACROD2,interaction
MAD1L1,interaction
MADCAM1,interaction
MAGEL2,interaction
MAGI2,interaction
MAGT1,interaction
MAK,interaction
MAOA,interaction
MAOB,interaction
MAP2K1,interaction
MAP2K2,interaction
MAP2K5,interaction
MAP3K1,interaction
MAPK1,interaction
MAPK10,interaction
MAPT,interaction
MARVELD2,interaction
MAT1A,interaction
MAX,interaction
MBL2,interaction
MC1R,interaction
MC2R,interaction
MC3R,interaction
MC4R,interaction
MCM6,interaction
MCM8,interaction
MCOLN1,interaction
MCT8,interaction
MDGA1,interaction
MDGA2,interaction
MDM2,interaction
MDM4,interaction
MECP2,interaction
MECR,interaction
MEF2C,interaction
MEFV,interaction
MEIS1,interaction
MEN1,interaction
MET,interaction
METTL23,interaction
MFN2,interaction
MFSD8,interaction
MGLL,interaction
MGMT,interaction
MGST1,interaction
MIB1,interaction
MICA,interaction
MIR1185-2,interaction
MIR4761,interaction
MIR662,interaction
MIR6766,interaction
MIR96,interaction
MITF,interaction
MKLN1,interaction
MLH1,interaction
MLH3,interaction
MLLT10,interaction
MMAA,interaction
MMAB,interaction
MMACHC,interaction
MMADHC,interaction
MME,interaction
MMEL1,interaction
MMP1,interaction
MMP11,interaction
MMP12,interaction
MMP13,interaction
MMP2,interaction
MMP3,interaction
MMP7,interaction
MMP9,interaction
MOCS1,interaction
MOCS2,interaction
MPL,interaction
MPO,interaction
MPP2,interaction
MPZ,interaction
MRAP2,interaction
MRE11A,interaction
MRPL3,interaction
MRS2,interaction
MSANTD1,interaction
MSH2,interaction
MSH3,interaction
MSH5,interaction
MSH6,interaction
MSLN,interaction
MSMB,interaction
MSRB3,interaction
MSTN,interaction
MT-ATP6,interaction
MT-ATP8,interaction
MT-CO1,interaction
MT-CO2,interaction
MT-CO3,interaction
MT-CYB,interaction
MT-ND1,interaction
MT-ND2,interaction
MT-ND3,interaction
MT-ND4,interaction
MT-ND4L,interaction
MT-ND5,interaction
MT-ND6,interaction
MT-RNR1,interaction
MT-RNR2,interaction
MT-TA,interaction
MT-TC,interaction
MT-TD,interaction
MT-TE,interaction
MT-TF,interaction
MT-TG,interaction
MT-TH,interaction
MT-TI,interaction
MT-TK,interaction
MT-TL1,interaction
MT-TL2,interaction
MT-TM,interaction
MT-TN,interaction
MT-TP,interaction
MT-TQ,interaction
MT-TR,interaction
MT-TS1,interaction
MT-TS2,interaction
MT-TT,interaction
MT-TV,interaction
MT-TW,interaction
MT-TY,interaction
MTHFD1,interaction
MTHFD1L,interaction
MTHFR,interaction
MTHFS,interaction
MTHFSD,interaction
MTMR2,interaction
MTNR1A,interaction
MTNR1B,interaction
MTOR,interaction
MTR,interaction
MTRR,interaction
MTTP,interaction
MUC1,interaction
MUC5AC,interaction
MUC5B,interaction
MUT,interaction
MUTYH,interaction
MVK,interaction
MXRA5P1,interaction
MYBPC3,interaction
MYC,interaction
MYCBP2,interaction
MYH11,interaction
MYH14,interaction
MYH15,interaction
MYH6,interaction
MYH7,interaction
MYH9,interaction
MYL2,interaction
MYL3,interaction
MYLK,interaction
MYLK2,interaction
MYO15A,interaction
MYO18B,interaction
MYO1A,interaction
MYO1E,interaction
MYO3A,interaction
MYO6,interaction
MYO7A,interaction
MYOC,interaction
MYOT,interaction
NAA10,interaction
NADSYN1,interaction
NAGPA,interaction
NALCN,interaction
NAT1,interaction
NAT2,interaction
NAT8,interaction
NBEAL2,interaction
NBN,interaction
NBPF3,interaction
NCAM1,interaction
NCAN,interaction
NCF4,interaction
NDP,interaction
NDRG1,interaction
NDST1,interaction
NDST2,interaction
NDST3,interaction
NDST4,interaction
NDUFS3,interaction
NECAP1,interaction
NEFL,interaction
NEIL2,interaction
NEU1,interaction
NF1,interaction
NF2,interaction
NFE2L2,interaction
NFIA,interaction
NFKB1,interaction
NFKBIA,interaction
NFKBIL1,interaction
NGF,interaction
NGLY1,interaction
NINJ2,interaction
NIPBL,interaction
NLGN4Y,interaction
NLRP1,interaction
NLRP12,interaction
NLRP3,interaction
NOD2,interaction
NOS1,interaction
NOS1AP,interaction
NOS2,interaction
NOS3,interaction
NOTCH1,interaction
NOX4,interaction
NPAS2,interaction
NPC1,interaction
NPC1L1,interaction
NPHS1,interaction
NPHS2,interaction
NPPA,interaction
NPPB,interaction
NPR3,interaction
NPTN,interaction
NPY,interaction
NQO1,interaction
NR0B1,interaction
NR1H3,interaction
NR1I2,interaction
NR1I3,interaction
NR2F2,interaction
NR3C1,interaction
NR3C2,interaction
NR4A2,interaction
NR4A3,interaction
NR5A1,interaction
NRG1,interaction
NRP1,interaction
NRXN1,interaction
NRXN3,interaction
NSD1,interaction
NSMCE3,interaction
NT5DC3,interaction
NTF3,interaction
NTF4,interaction
NTRK1,interaction
NTRK2,interaction
NUDT1,interaction
NUDT15,interaction
NUDT9,interaction
NUP153,interaction
NUTF2,interaction
OAS1,interaction
OBFC1,interaction
OBSCN,interaction
OCA2,interaction
OFD1P6Y,interaction
OGDHL,interaction
OGG1,interaction
OPMR1,interaction
OPN1LW,interaction
OPN1MW,interaction
OPN1SW,interaction
OPRD1,interaction
OPRM1,interaction
OPTN,interaction
OR10A2,interaction
OR6A2,interaction
OR7D4,interaction
OR7E24,interaction
OR7G3,interaction
ORM1,interaction
ORM2,interaction
ORMDL3,interaction
OSGIN1,interaction
OTC,interaction
OTOA,interaction
OTOF,interaction
OTOGL,interaction
OXT,interaction
OXTR,interaction
P2RX2,interaction
P2RX4,interaction
P2RY11,interaction
P2RY5,interaction
PABPN1,interaction
PADI3,interaction
PADI4,interaction
PADI6,interaction
PAH,interaction
PALB2,interaction
PALLD,interaction
PANK2,interaction
PARK2,interaction
PARK7,interaction
PAX2,interaction
PAX3,interaction
PAX5,interaction
PAX9,interaction
PCBD1,interaction
PCDH11X,interaction
PCDH11Y,interaction
PCDH15,interaction
PCDH19,interaction
PCDH7,interaction
PCSK1,interaction
PCSK6,interaction
PCSK9,interaction
PCYT1A,interaction
PDCD10,interaction
PDE4A,interaction
PDE4B,interaction
PDE4C,interaction
PDE4D,interaction
PDE9A,interaction
PDHA1,interaction
PDHX,interaction
PDX1,interaction
PDZD7,interaction
PEMT,interaction
PER1,interaction
PER2,interaction
PET100,interaction
PEX1,interaction
PEX10,interaction
PEX7,interaction
PFKP,interaction
PGAM2,interaction
PGBD1,interaction
PGM1,interaction
PGR,interaction
PGRMC1,interaction
PHEX,interaction
PHGDH,interaction
PHIP,interaction
PHKB,interaction
PHKG2,interaction
PIEZO1,interaction
PIEZO2,interaction
PIGA,interaction
PIGN,interaction
PIK3R1,interaction
PINK1,interaction
PITX1,interaction
PITX2,interaction
PKD1,interaction
PKD1L3,interaction
PKD2,interaction
PKHD1,interaction
PKIA,interaction
PKNOX2,interaction
PKP2,interaction
PLA2G6,interaction
PLB1,interaction
